"id_CC_original","match_id","correcting_match","correcting_match_old","occurrenceID_master","occurrenceID","occ_match","match_status","match_quality","fieldgood","fieldbad","logodd.ratio","precent.good","percent.bad","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
"55",38,NA,"good","CIMAR1_98_sp16","cimar1_98_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-10-25",NA,-44.5617,-74.5217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",39,NA,NA,"MAguilar.Lit.Review.1349",NA,NA,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton marinus",NA,NA,"isla wellington",-49.5333333329,-74.5000000003,"Zama A. y Cárdenas E","1349",NA,"1","eventDate= 1977-09-21; year=1977; Locality= Isla Wellington, Estero Veto",NA,NA,NA,NA,"Isla Wellington, Estero Veto","1977","1977-09-21",NA,NA,NA,NA,NA,NA
"57",40,NA,NA,"MAguilar.Lit.Review.906",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",1977,NA,"estero veto",-49.5333333329,-74.5000000003,"McDowall, R., & Naka","906",NA,NA,"change coordinate to -49.511663, -74.499677",NA,NA,"-49.511663","-74.499677",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",41,NA,NA,"MMA:ICT:0000003",NA,NA,"matched","3_core",6,3,0.243038048686294,46.1538461538462,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","aplochiton marinus",1977,"1977-09-21","estero veto. costeras  orientales  entre  fiordo veto y fiordo antrim",-49.533,-74.5,"OrigenReg: Zama, A.,",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",42,NA,NA,"SUBPESCA.PecesContinentales2019.23482",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","subpesca-1","oncorhynchus mykiss",2005,NA,NA,-46.5,-74.5,"PENALUNA BE, ARISMEN","23482",NA,NA,"Remove. Actual location is in rio Bueno, out of range.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",43,NA,NA,"MAguilar.Lit.Review.726",NA,NA,"matched","all_core_firlds",9,0,1,69.2307692307692,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus",2013,NA,"lago konrad po",-51.1777777784,-74.4383333329,"Górski, K., González","726",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",44,NA,NA,"MAguilar.Lit.Review.1050",NA,NA,"matched","all_core_firlds",10,0,1.04139268515823,76.9230769230769,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus",2014,NA,"lago konrad po",-51.1777777784,-74.4383333329,"Pérez, S., Manosalva","1050",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",46,NA,"good","MMA:ICT:0002014",NA,NA,"matched","3_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus",2014,"2014-03-27","lago konrad. bahia donaldson. islas presidente gabriel gonzalez videla",-51.178,-74.438,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",50,NA,NA,"MAguilar.Lit.Review.725",NA,NA,"matched","all_core_firlds",9,0,1,69.2307692307692,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus",2013,NA,"río konrad po",-51.1802777777,-74.432222222,"Górski, K., González","725",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",51,NA,NA,"MAguilar.Lit.Review.1049",NA,NA,"matched","all_core_firlds",10,0,1.04139268515823,76.9230769230769,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","galaxias maculatus",2014,NA,"estuario konrad po",-51.1802777777,-74.432222222,"Pérez, S., Manosalva","1049",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"53",NA,NA,NA,"no_match","no_match",NA,NA,NA,NA,NA,NA,NA,0,NA,"mma2","galaxias maculatus",2014,"2014-04-03","rio konrad. bahia donaldson. islas presidente gabriel gonzalez videla",-51.18,-74.432,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",59,NA,"good","MMA:ICT:0001813",NA,NA,"matched","4plus_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,4,4,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","eleginops maclovinus",2014,"2014-02-14","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.134,-74.427,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",60,NA,NA,"MMA:ICT:0002025",NA,NA,"matched","4plus_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,4,4,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude","mma2","galaxias maculatus",2014,"2014-04-24","rio balderas. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.134,-74.427,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",61,NA,NA,"MAguilar.Lit.Review.716",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","eleginops maclovinus",2013,NA,"río balderas",-49.1341666671,-74.4269444444,"Górski, K., González","716",NA,"0","associatedReference: (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",62,NA,NA,"MAguilar.Lit.Review.720",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",2013,NA,"río balderas",-49.1341666671,-74.4269444444,"Górski, K., González","720",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",65,NA,NA,"MAguilar.Lit.Review.717",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","eleginops maclovinus",2013,NA,"bahía lackawana",-49.1719444442,-74.4111111109,"Górski, K., González","717",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",66,NA,NA,"MAguilar.Lit.Review.721",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",2013,NA,"bahía lackawana",-49.1719444442,-74.4111111109,"Górski, K., González","721",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",67,NA,"good","MMA:ICT:0001811",NA,NA,"matched","3_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","eleginops maclovinus",2014,"2014-02-14","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.172,-74.411,"OrigenReg: Base Dato",NA,NA,"1","associatedReference: (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",69,NA,"good","MMA:ICT:0002023",NA,NA,"matched","3_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus",2014,"2014-04-24","rio lackawana. sector puerto eden. costeras  orientales  entre  fiordo  beauchamp y fiordo veto",-49.172,-74.411,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",71,NA,"good","CIMAR1_65_sp16","cimar1_65_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7817,-74.4083,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",75,NA,NA,"69778f10-9b29-40a0-a178-26b3bc0e4c02","69778f10-9b29-40a0-a178-26b3bc0e4c02",TRUE,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","idig","eleginops maclovinus",1931,NA,"golfo de penas",-48.4583333,-74.3916667,NA,"1936.8.26.915","nhmuk","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"unlink",NA,NA,NA,"no_match","no_match",NA,NA,NA,NA,NA,NA,NA,0,NA,"agui","eleginops maclovinus",NA,NA,"-",-48.4583333332,-74.3916666666,"Rademacher K. 2007. ","1076",NA,"0","Remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",78,NA,"good","CIMAR1_71_sp16","cimar1_71_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-03",NA,-45.4383,-74.3433,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",80,NA,"good","CIMAR1_103_sp16","cimar1_103_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-10-25",NA,-43.6617,-74.2883,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",83,NA,NA,"MAguilar.Lit.Review.732",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","oncorhynchus kisutch",2013,NA,"río tote",-50.3859722217,-74.2511944444,"Górski, K., González","732",NA,NA,"change coordinates to: -50.385972, -74.251194",NA,NA,"-50.385972","-74.251194",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",84,NA,NA,"MAguilar.Lit.Review.724",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",2013,NA,"río tote",-50.3861111112,-74.2511111114,"Górski, K., González","724",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",87,NA,NA,"MCZ:Ich:6594","mcz:ich:6594",TRUE,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","galaxiidae",1872,"1872","off straits of magellan, puerto bueno",-50.99286,-74.21539,NA,"6594","mcz","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",90,NA,"good","CIMAR1_64_sp16","cimar1_64_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7,-74.175,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",96,NA,"good","MMA:ICT:0002021",NA,NA,"matched","3_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus",2014,"2014-04-24","rio evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth",-49.198,-74.144,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",98,NA,NA,"MAguilar.Lit.Review.722",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",2013,NA,"río elizabeth",-49.1980555556,-74.1436111111,"Górski, K., González","722",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",99,NA,NA,"MMA:ICT:0002027",NA,NA,"matched","3_core",7,3,0.301029995663981,53.8461538461538,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus",2014,"2014-04-24","lago evelyn. bahia elizabeth. costeras canal mesier limite region - peninsula exmouth",-49.195,-74.141,"OrigenReg: Base Dato",NA,NA,"1","associatedReferences (Górski et al. 2017)",NA,"Górski et al. 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",103,NA,NA,"MAguilar.Lit.Review.723",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","galaxias maculatus",2013,NA,"lago evelyn",-49.1952777782,-74.1405555556,"Górski, K., González","723",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",106,NA,"good","CIMAR1_72_sp16","cimar1_72_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-03",NA,-45.385,-74.1367,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",122,NA,"good","MMA:ICT:0001830",NA,NA,"matched","2_core",4,2,0.221848749616356,30.7692307692308,15.3846153846154,2,2,1,"datasetName;canonicalName","mma2","galaxias globiceps",NA,NA,"río cipresal. costa occidental de la isla de chiloé. costeras vertientes oeste entre rio chepu y rio cucao",-42.604,-74.123,"FuenteReg: Murillo &",NA,NA,"1","also in Cussac et al. 2004",NA,"Cussac et al., 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",123,NA,"good","CIMAR1_97_sp16","cimar1_97_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-10-26",NA,-44.5733,-74.1217,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",141,NA,NA,"MMA:ICT:0000008",NA,NA,"matched","3_core",6,3,0.243038048686294,46.1538461538462,23.0769230769231,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","aplochiton marinus",2011,"2011-01-23","lago huelde, chiloé. pequeño lago costero. costeras vertientes oeste entre rio chepu y rio cucao",-42.595,-74.117,"OrigenReg: Alo, D., ",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",244,NA,NA,"MAguilar.Lit.Review.761",NA,NA,"matched","all_core_firlds",9,0,1,69.2307692307692,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salmo trutta",2006,NA,"lago cucao",-42.6394560004,-74.0669899996,"Habit, E., Gonzalez,","761",NA,"1","associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",245,NA,NA,"MAguilar.Lit.Review.519",NA,NA,"matched","all_core_firlds",7,0,0.903089986991944,53.8461538461538,0,5,5,1,"datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation","agui","salmo trutta",NA,NA,"lago cucao",-42.6394560004,-74.0669899996,"Cussac, V.E.; Barran","519",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",246,NA,NA,"MMA:ICT:0001879",NA,NA,"matched","3_core",8,2,0.477121254719662,61.5384615384615,15.3846153846154,3,3,1,"datasetName;canonicalName;decimalLatitude","mma2","galaxias maculatus",2007,"2007-12-22","lago cucuao. en cucao. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido)",-42.648,-74.058,"OrigenReg: Base Dato",NA,NA,NA,"associatedReference: (Habit et al. 2012)",NA,"Habit et al. 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",251,NA,"good","CIMAR1_63_sp16","cimar1_63_sp16",TRUE,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","gbif","atheriniformes",1995,"1995-11-02",NA,-45.7283,-74.04,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",252,NA,NA,"MAguilar.Lit.Review.1253",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton zebra",NA,NA,"u29, chiloé",-41.9600000004,-74.0399999996,"Vanhaecke, D., Garci","1253",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",253,NA,NA,"MAguilar.Lit.Review.1244",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton zebra",2007,"2007-12-03","u29, chiloé",-41.9590000001,-74.0399999996,"Vanhaecke D, Garcia ","1244",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",260,NA,NA,"MAguilar.Lit.Review.1233",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",2007,"2007-11-29","u24, chiloé",-41.811,-74.031,"Vanhaecke D, Garcia ","1233",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",270,NA,NA,"MAguilar.Lit.Review.1239",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",2007,"2007-12-02","u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ","1239",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",271,NA,NA,"MAguilar.Lit.Review.1243",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton zebra",2007,"2007-12-02","u28, chiloé",-41.9459999996,-74.0240000001,"Vanhaecke D, Garcia ","1243",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",277,NA,NA,"MAguilar.Lit.Review.1238",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",2007,"2007-12-01","puñihuil",-41.9310000003,-74.0229999998,"Vanhaecke D, Garcia ","1238",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",284,NA,NA,"MAguilar.Lit.Review.1249",NA,NA,"matched","3_core",8,0,0.954242509439325,61.5384615384615,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci","1249",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",285,NA,NA,"MAguilar.Lit.Review.1252",NA,NA,"matched","3_core",9,0,1,69.2307692307692,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton zebra",NA,NA,"u28, chiloé",-41.9499999997,-74.02,"Vanhaecke, D., Garci","1252",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",292,NA,NA,"MAguilar.Lit.Review.1240",NA,NA,"matched","3_core",11,0,1.07918124604762,84.6153846153846,0,3,3,1,"datasetName;canonicalName;decimalLatitude","agui","aplochiton taeniatus",2007,"2007-12-04","u30, chiloé",-41.9840000001,-74.0119999998,"Vanhaecke D, Garcia ","1240",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
