IncludePewProAP,scientificName_Old,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,kingdomKey,phylumKey,orderKey,familyKey,synonym,verbatim_name,verbatim_rank,genus,species,genusKey,speciesKey,acceptedUsageKey,classKey,class
1,"Aplochiton zebra Jenyns, 1842",2410618,"Aplochiton zebra Jenyns, 1842",Aplochiton zebra,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,"Aplochiton zebra Jenyns, 1842",higher,Aplochiton,Aplochiton zebra,2410617,2410618,NA,NA,NA
1,BOLD:ACC0235,2410618,"Aplochiton zebra Jenyns, 1842",Aplochiton zebra,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,BOLD:ACC0235,higher,Aplochiton,Aplochiton zebra,2410617,2410618,NA,NA,NA
0,Argentinidae,4222,Argentinidae,Argentinidae,FAMILY,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Osmeriformes,Argentinidae,1,44,1068,4222,FALSE,Argentinidae,higher,NA,NA,NA,NA,NA,NA,NA
0,"Argentinolycus elongatus (Smitt, 1898)",7570815,"Argentinolycus elongatus (Smitt, 1898)",Argentinolycus elongatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,"Argentinolycus elongatus (Smitt, 1898)",higher,Argentinolycus,Argentinolycus elongatus,7009603,7570815,NA,NA,NA
0,"Atherinichthys Bleeker, 1853",2411644,"Atherinichthys Bleeker, 1853",Atherinichthys,GENUS,SYNONYM,97,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,"Atherinichthys Bleeker, 1853",higher,Chirostoma,NA,2412431,NA,2412431,NA,NA
0,Atherinichthys laticlavia,2411644,"Atherinichthys Bleeker, 1853",Atherinichthys,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Atherinichthys laticlavia,higher,Chirostoma,NA,2412431,NA,2412431,NA,NA
1,ATHERINIDAE,7172,Atherinidae,Atherinidae,FAMILY,ACCEPTED,95,EXACT,Animalia,Chordata,Atheriniformes,Atherinidae,1,44,496,7172,FALSE,ATHERINIDAE,higher,NA,NA,NA,NA,NA,NA,NA
1,Atherinidae,7172,Atherinidae,Atherinidae,FAMILY,ACCEPTED,94,EXACT,Animalia,Chordata,Atheriniformes,Atherinidae,1,44,496,7172,FALSE,Atherinidae,higher,NA,NA,NA,NA,NA,NA,NA
1,Atheriniformes,496,Atheriniformes,Atheriniformes,ORDER,ACCEPTED,94,EXACT,Animalia,Chordata,Atheriniformes,NA,1,44,496,NA,FALSE,Atheriniformes,higher,NA,NA,NA,NA,NA,NA,NA
1,Atherinops,2412418,"Atherinops Steindachner, 1876",Atherinops,GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,,Atherinops,higher,Atherinops,NA,2412418,NA,,,
1,Atherinopsidae,2957,Atherinopsidae,Atherinopsidae,FAMILY,ACCEPTED,94,,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,FALSE,Atherinopsidae,higher,NA,NA,NA,NA,NA,NA,NA
0,Austroatherina nigricans,2412408,"Austroatherina nigricans (Richardson, 1848)",Austroatherina nigricans,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Austroatherina nigricans,higher,Odontesthes,Odontesthes nigricans,2412318,2412403,2412403,NA,NA
0,"Austroatherina nigricans (Richardson, 1848)",2412408,"Austroatherina nigricans (Richardson, 1848)",Austroatherina nigricans,SPECIES,SYNONYM,99,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,"Austroatherina nigricans (Richardson, 1848)",higher,Odontesthes,Odontesthes nigricans,2412318,2412403,2412403,NA,NA
0,Austrolycus depressiceps,2381177,"Austrolycus depressiceps Regan, 1913",Austrolycus depressiceps,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,Austrolycus depressiceps,higher,Austrolycus,Austrolycus depressiceps,2381171,2381177,NA,NA,NA
0,"Austrolycus depressiceps Regan, 1913",2381177,"Austrolycus depressiceps Regan, 1913",Austrolycus depressiceps,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,"Austrolycus depressiceps Regan, 1913",higher,Austrolycus,Austrolycus depressiceps,2381171,2381177,NA,NA,NA
0,"Austrolycus laticinctus (Berg, 1895)",2381172,"Austrolycus laticinctus (Berg, 1895)",Austrolycus laticinctus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,"Austrolycus laticinctus (Berg, 1895)",higher,Austrolycus,Austrolycus laticinctus,2381171,2381172,NA,NA,NA
0,"Austrolycus laticinctus Berg, 1895",2381172,"Austrolycus laticinctus (Berg, 1895)",Austrolycus laticinctus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,"Austrolycus laticinctus Berg, 1895",higher,Austrolycus,Austrolycus laticinctus,2381171,2381172,NA,NA,NA
0,Austrolycus,2381171,"Austrolycus Regan, 1913",Austrolycus,GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,Austrolycus,higher,Austrolycus,NA,2381171,NA,NA,NA,NA
0,Austrolycus austrolycus,2381171,"Austrolycus Regan, 1913",Austrolycus,GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,Austrolycus austrolycus,higher,Austrolycus,NA,2381171,NA,NA,NA,NA
0,"Austrolycus Regan, 1913",2381171,"Austrolycus Regan, 1913",Austrolycus,GENUS,ACCEPTED,98,EXACT,Animalia,Chordata,Perciformes,Zoarcidae,1,44,587,5079,FALSE,"Austrolycus Regan, 1913",higher,Austrolycus,NA,2381171,NA,NA,NA,NA
0,Austromenidia,2412268,"Austromenidia Hubbs, 1918",Austromenidia,GENUS,SYNONYM,94,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Austromenidia,higher,Odontesthes,NA,2412318,NA,2412318,NA,NA
0,Austromenidia alburnus,2412268,"Austromenidia Hubbs, 1918",Austromenidia,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Austromenidia alburnus,higher,Odontesthes,NA,2412318,NA,2412318,NA,NA
0,"Austromenidia Hubbs, 1918",2412268,"Austromenidia Hubbs, 1918",Austromenidia,GENUS,SYNONYM,97,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,"Austromenidia Hubbs, 1918",higher,Odontesthes,NA,2412318,NA,2412318,NA,NA
0,Austromenidia nigricans,2412268,"Austromenidia Hubbs, 1918",Austromenidia,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Austromenidia nigricans,higher,Odontesthes,NA,2412318,NA,2412318,NA,NA
0,Austromenidia smitti,2412268,"Austromenidia Hubbs, 1918",Austromenidia,GENUS,SYNONYM,94,HIGHERRANK,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,TRUE,Austromenidia smitti,higher,Odontesthes,NA,2412318,NA,2412318,NA,NA
1,Basilichthys australis,2412261,"Basilichthys australis Eigenmann, 1928",Basilichthys australis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,FALSE,Basilichthys australis,higher,Basilichthys,Basilichthys australis,2412252,2412261,NA,NA,NA
1,"Basilichthys australis Eigenmann, 1928",2412261,"Basilichthys australis Eigenmann, 1928",Basilichthys australis,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,,"Basilichthys australis Eigenmann, 1928",higher,Basilichthys,Basilichthys australis,2412252,2412261,NA,NA,
1,Basilichthys microlepidotus,2412258,"Basilichthys microlepidotus (Jenyns, 1841)",Basilichthys microlepidotus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,FALSE,Basilichthys microlepidotus,higher,Basilichthys,Basilichthys microlepidotus,2412252,2412258,NA,NA,NA
1,"Basilichthys microlepidotus (Jenyns, 1841)",2412258,"Basilichthys microlepidotus (Jenyns, 1841)",Basilichthys microlepidotus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Atheriniformes,Atherinopsidae,1,44,496,2957,FALSE,"Basilichthys microlepidotus (Jenyns, 1841)",higher,Basilichthys,Basilichthys microlepidotus,2412252,2412258,NA,NA,NA
0,"Bassanago albescens (Barnard, 1923)",2403271,"Bassanago albescens (Barnard, 1923)",Bassanago albescens,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Anguilliformes,Congridae,1,44,495,2951,,"Bassanago albescens (Barnard, 1923)",higher,Bassanago,Bassanago albescens,2403278,2403271,NA,NA,
0,"Bassanago nielseni (Karmovskaya, 1990)",5961019,"Bassanago nielseni (Karmovskaya, 1990)",Bassanago nielseni,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Anguilliformes,Congridae,1,44,495,2951,,"Bassanago nielseni (Karmovskaya, 1990)",higher,Bassanago,Bassanago nielseni,2403278,5961019,NA,NA,
0,"Bathylagichthys parini Kobyliansky, 1990",2410958,"Bathylagichthys parini Kobyliansky, 1990",Bathylagichthys parini,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Osmeriformes,Bathylagidae,1,44,1068,4223,FALSE,"Bathylagichthys parini Kobyliansky, 1990",higher,Bathylagichthys,Bathylagichthys parini,2410953,2410958,NA,NA,NA
0,"Batrachoides Lacepède, 1800",2350739,"Batrachoides Lacepède, 1800",Batrachoides,GENUS,ACCEPTED,98,EXACT,Animalia,Chordata,Batrachoidiformes,Batrachoididae,1,44,1106,7187,FALSE,"Batrachoides Lacepède, 1800",higher,Batrachoides,NA,2350739,NA,NA,NA,NA
0,"Beryx splendens Lowe, 1834",2356612,"Beryx splendens Lowe, 1834",Beryx splendens,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Beryciformes,Berycidae,1,44,499,7193,,"Beryx splendens Lowe, 1834",higher,Beryx,Beryx splendens,2356611,2356612,NA,NA,
0,BOLD:AAA4566,10112788,BOLD:AAA4566,BOLD:AAA4566,UNRANKED,ACCEPTED,97,EXACT,Animalia,Chordata,Perciformes,Nototheniidae,1,44,587,8549,FALSE,BOLD:AAA4566,higher,Dissostichus,Dissostichus eleginoides,2385954,2385957,NA,NA,NA
0,BOLD:AAA7789,10100044,BOLD:AAA7789,BOLD:AAA7789,UNRANKED,ACCEPTED,97,EXACT,Animalia,Chordata,Gadiformes,Gadidae,1,44,549,3701,FALSE,BOLD:AAA7789,higher,Micromesistius,NA,2415773,NA,NA,NA,NA
0,BOLD:AAB2174,10220068,BOLD:AAB2174,BOLD:AAB2174,UNRANKED,ACCEPTED,97,EXACT,Animalia,Chordata,Gadiformes,Merlucciidae,1,44,549,3703,FALSE,BOLD:AAB2174,higher,Merluccius,Merluccius australis,2415629,2415632,NA,NA,NA
0,BOLD:AAE4085,10351839,BOLD:AAE4085,BOLD:AAE4085,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,,BOLD:AAE4085,higher,Cottoperca,Cottoperca trigloides,2398039,5962011,,,
0,BOLD:ABA0605,10189668,BOLD:ABA0605,BOLD:ABA0605,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Clupeiformes,Clupeidae,1,44,538,7332,,BOLD:ABA0605,higher,Sprattus,Sprattus fuegensis,2413443,2413473,,,
0,BOLD:ACE4189,10610507,BOLD:ACE4189,BOLD:ACE4189,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Scorpaeniformes,Sebastidae,1,44,590,8633,,BOLD:ACE4189,higher,Sebastes,NA,2333712,NA,,,
0,BOLD:ACF2980,10641150,BOLD:ACF2980,BOLD:ACF2980,UNRANKED,ACCEPTED,97,EXACT,Animalia,Chordata,Ophidiiformes,Ophidiidae,1,44,1308,8476,FALSE,BOLD:ACF2980,higher,Genypterus,Genypterus blacodes,2345634,2345645,NA,NA,NA
0,BOLD:ADG6348,10600505,BOLD:ADG6348,BOLD:ADG6348,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Nototheniidae,1,44,587,8549,,BOLD:ADG6348,higher,Patagonotothen,Patagonotothen wiltoni,2385854,2385862,,,
0,BOLD:ADG6349,10383749,BOLD:ADG6349,BOLD:ADG6349,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Nototheniidae,1,44,587,8549,,BOLD:ADG6349,higher,Patagonotothen,NA,2385854,NA,,,
0,BOLD:ADI6202,10544455,BOLD:ADI6202,BOLD:ADI6202,UNRANKED,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Nototheniidae,1,44,587,8549,,BOLD:ADI6202,higher,Patagonotothen,NA,2385854,NA,,,
0,Bothidae,8608,Bothidae,Bothidae,FAMILY,ACCEPTED,94,EXACT,Animalia,Chordata,Pleuronectiformes,Bothidae,1,44,588,8608,FALSE,Bothidae,higher,NA,NA,NA,NA,NA,NA,NA
0,Bovichthyidae,4284947,Bovichthyidae,Bovichthyidae,FAMILY,ACCEPTED,94,EXACT,Animalia,Chordata,Perciformes,Bovichthyidae,1,44,587,4284947,FALSE,Bovichthyidae,higher,NA,NA,NA,NA,NA,NA,NA
0,"Bovichtus argentinus MacDonagh, 1931",2398035,"Bovichtus argentinus MacDonagh, 1931",Bovichtus argentinus,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,,"Bovichtus argentinus MacDonagh, 1931",higher,Bovichtus,Bovichtus argentinus,2398019,2398035,NA,NA,NA
0,Bovichtus chilensis,2398026,"Bovichtus chilensis Regan, 1913",Bovichtus chilensis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,FALSE,Bovichtus chilensis,higher,Bovichtus,Bovichtus chilensis,2398019,2398026,NA,NA,NA
0,"Bovichtus chilensis Regan, 1913",2398026,"Bovichtus chilensis Regan, 1913",Bovichtus chilensis,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,FALSE,"Bovichtus chilensis Regan, 1913",higher,Bovichtus,Bovichtus chilensis,2398019,2398026,NA,NA,NA
0,"Bovichtus Valenciennes, 1832",2398019,"Bovichtus Valenciennes, 1832",Bovichtus,GENUS,ACCEPTED,98,EXACT,Animalia,Chordata,Perciformes,Bovichtidae,1,44,587,4252,FALSE,"Bovichtus Valenciennes, 1832",higher,Bovichtus,NA,2398019,NA,NA,NA,NA
1,Brachygalaxias bullocki,2410599,"Brachygalaxias bullocki (Regan, 1908)",Brachygalaxias bullocki,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Brachygalaxias bullocki,higher,Brachygalaxias,Brachygalaxias bullocki,2410598,2410599,NA,NA,NA
1,"Brachygalaxias bullocki (Regan, 1908)",2410599,"Brachygalaxias bullocki (Regan, 1908)",Brachygalaxias bullocki,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,"Brachygalaxias bullocki (Regan, 1908)",higher,Brachygalaxias,Brachygalaxias bullocki,2410598,2410599,NA,NA,NA
1,Brachygalaxias bulloki,2410599,"Brachygalaxias bullocki (Regan, 1908)",Brachygalaxias bullocki,SPECIES,ACCEPTED,95,FUZZY,Animalia,Chordata,Osmeriformes,Galaxiidae,1,44,1068,4224,FALSE,Brachygalaxias bulloki,higher,Brachygalaxias,Brachygalaxias bullocki,2410598,2410599,NA,NA,NA
0,"Brama australis Valenciennes, 1838",5208087,"Brama australis Valenciennes, 1838",Brama australis,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Bramidae,1,44,587,8508,FALSE,"Brama australis Valenciennes, 1838",higher,Brama,Brama australis,5208069,5208087,NA,NA,NA
0,Brama australis,5208087,"Brama australis Valenciennes, 1838",Brama australis,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Bramidae,1,44,587,8508,,Brama australis,higher,Brama,Brama australis,5208069,5208087,NA,NA,
0,Calliclinus geniguttatus,2389576,"Calliclinus geniguttatus (Valenciennes, 1836)",Calliclinus geniguttatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,FALSE,Calliclinus geniguttatus,higher,Calliclinus,Calliclinus geniguttatus,2389575,2389576,NA,NA,NA
0,"Calliclinus geniguttatus (Valenciennes, 1836)",2389576,"Calliclinus geniguttatus (Valenciennes, 1836)",Calliclinus geniguttatus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,FALSE,"Calliclinus geniguttatus (Valenciennes, 1836)",higher,Calliclinus,Calliclinus geniguttatus,2389575,2389576,NA,NA,NA
0,Calliclinus racemarius,2389575,"Calliclinus Gill, 1860",Calliclinus,GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,FALSE,Calliclinus racemarius,higher,Calliclinus,NA,2389575,NA,NA,NA,NA
0,"Calliclinus Gill, 1860",2389575,"Calliclinus Gill, 1860",Calliclinus,GENUS,ACCEPTED,99,HIGHERRANK,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,,"Calliclinus Gill, 1860",higher,Calliclinus,NA,2389575,NA,NA,NA,
0,Calliclinus nudiventris,2389578,"Calliclinus nudiventris Cervigón & Pequeño, 1979",Calliclinus nudiventris,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,FALSE,Calliclinus nudiventris,higher,Calliclinus,Calliclinus nudiventris,2389575,2389578,NA,NA,NA
0,"Calliclinus nudiventris Cervigón & Pequeño, 1979",2389578,"Calliclinus nudiventris Cervigón & Pequeño, 1979",Calliclinus nudiventris,SPECIES,ACCEPTED,100,EXACT,Animalia,Chordata,Perciformes,Labrisomidae,1,44,587,4280,FALSE,"Calliclinus nudiventris Cervigón & Pequeño, 1979",higher,Calliclinus,Calliclinus nudiventris,2389575,2389578,NA,NA,NA
0,"Caprodon longimanus (Günther, 1859)",2388115,"Caprodon longimanus (Günther, 1859)",Caprodon longimanus,SPECIES,ACCEPTED,99,EXACT,Animalia,Chordata,Perciformes,Serranidae,1,44,587,8597,FALSE,"Caprodon longimanus (Günther, 1859)",higher,Caprodon,Caprodon longimanus,2388114,2388115,NA,NA,NA
0,Caprodon,2388114,"Caprodon Temminck & Schlegel, 1843",Caprodon,GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Perciformes,Serranidae,1,44,587,8597,FALSE,Caprodon,higher,Caprodon,NA,2388114,NA,NA,NA,NA
0,"Caprodon Temminck & Schlegel, 1843",2388114,"Caprodon Temminck & Schlegel, 1843",Caprodon,GENUS,ACCEPTED,99,HIGHERRANK,Animalia,Chordata,Perciformes,Serranidae,1,44,587,8597,,"Caprodon Temminck & Schlegel, 1843",higher,Caprodon,NA,2388114,NA,NA,NA,
0,Careproctus crassus,2336231,"Careproctus crassus de Buen, 1961",Careproctus crassus,SPECIES,SYNONYM,98,EXACT,Animalia,Chordata,Scorpaeniformes,Liparidae,1,44,590,8627,TRUE,Careproctus crassus,higher,Careproctus,Careproctus pallidus,2336138,2336229,2336229,NA,NA
