bibliographicCitation,bibliographicCitation_standardized
"Barile, Juan, Escudero, Manuel, & Carreño, Eriko. (2013). Combined effect of temperature and salinity on embryonic survival of Galaxias maculatus. Revista de biología marina y oceanografía, 48(3), 641-645. https://dx.doi.org/10.4067/S0718-19572013000300021","Barile, J., Escudero, M., and Carreño, E. 2013. Efecto combinado de la temperatura y salinidad sobre la supervivencia embrionaria de Galaxias maculatus. Revista de biología marina y oceanografía 48(3): 641–645. Universidad de Valparaíso. Facultad de Ciencias del Mar. doi:10.4067/S0718-19572013000300021."
"Barriga, J.P., Milano, D. and Cussac, V.E. (2013), Variation in vertebral number and its morphological implication in Galaxias platei. J Fish Biol, 83: 1321-1333. https://doi.org/10.1111/jfb.12233","Barriga, J.P., Milano, D., and Cussac, V.E. 2013. Variation in vertebral number and its morphological implication in Galaxias platei. J Fish Biol 83(5): 1321–1333. doi:10.1111/jfb.12233."
Base Datos CEA 2015,Base Datos CEA 2015
"Base Datos EULA UdeC, Base Datos 2005","Base Datos EULA UdeC, Base Datos 2005"
"Base Datos EULA UdeC, Base Datos 2006","Base Datos EULA UdeC, Base Datos 2006"
"Base Datos EULA UdeC, Base Datos 2007","Base Datos EULA UdeC, Base Datos 2007"
"Base Datos EULA UdeC, Base Datos 2008","Base Datos EULA UdeC, Base Datos 2008"
"Base Datos EULA UdeC, Base Datos 2009","Base Datos EULA UdeC, Base Datos 2009"
"Base Datos EULA UdeC, Base Datos 2009  2010","Base Datos EULA UdeC, Base Datos 2009 2010"
"Base Datos EULA UdeC, Base Datos 2011","Base Datos EULA UdeC, Base Datos 2011"
"Base Datos EULA UdeC, Base Datos 2013","Base Datos EULA UdeC, Base Datos 2013"
"Base Datos EULA UdeC, Base Datos 2014","Base Datos EULA UdeC, Base Datos 2014"
"Basulto del Campo, S. (2003) El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile.. Maval Ltda. Santiago, Chile. 299pp.","Basulto, S. 2003. El largo viaje de los salmones. Una crónica olvidada. Propagación y cultivo de especies acuáticas en Chile. Maval Ltda., Santiago."
"Behnke, Robert J.; illustrated by  Joseph R. Tomelleri; froreword by Thomas McGuane. (2002) Trout and Salmon of North America. The free press, New York. 359pp.","Behnke, R.J. 2002. Trout and Salmon of North America. The Free Press, New York. 359pp."
"Behrend J, Illanes A, Niklitschek E, Valerio V, Wente C, Vargas-Chacoff L, and  Muñoz J.L.P. (2022). Impacts of environmental and feeding regime variability on the feeding activity responses of atlantic salmon Salmo salar l. farmed in Southern Chile. Aquaculture 550: 737839. doi: 10.1016/j.aquaculture.2021.737839","Behrend, J., Illanes, A., Niklitschek, E., Valerio, V., Wente, C., Vargas-Chacoff, L., and Muñoz, J.L.P. 2022. Impacts of environmental and feeding regime variability on the feeding activity responses of atlantic salmon Salmo salar l. farmed in Southern Chile. Aquaculture 550: 737839. doi:10.1016/j.aquaculture.2021.737839."
"Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp.","Bello, MT. 2002. Los peces autóctonos de la Patagonia argentina. Distribución natural. Cuadernos Universitarios. Universidad Nacional del Comahue. Centro Regional Bariloche. Nº 23: 54 pp."
"Boy, C.C., Pérez, A.F., Fernández, D.A. et al. Energy allocation in relation to spawning and overwintering of a diadromous Puyen (Galaxias maculatus) population in the southernmost limit of the species distribution. Polar Biol 32, 9–14 (2009). https://doi.org/10.1007/s00300-008-0495-z","Boy, C.C., Pérez, S.A., Fernández, D.A., Calvo, J., and Morriconi, E.R. 2009. Energy allocation in relation to spawning and overwintering of a diadromous Puyen (Galaxias maculatus) population in the southernmost limit of the species distribution. Springer. doi:10.1007/s00300-008-0495-z."
"Bravo, S., Whelan, K., & Silva, M. (2021). Assessment of trout populations inhabiting the Palena River, southern Chile. Latin American Journal of Aquatic Research, 49(1), 29-39. doi:http://dx.doi.org/10.3856/vol49-issue1-fulltext-2577","Bravo, S., Whelan, K., Silva, M.T., Bravo, S., Whelan, K., and Silva, M.T. 2021. Assessment of trout populations inhabiting the Palena River, southern Chile. Latin american journal of aquatic research 49(1): 29–39. Pontificia Universidad Católica de Valparaíso. Facultad de Recursos Naturales. Escuela de Ciencias del Mar. doi:10.3856/vol49-issue1-fulltext-2577."
"Bravo, Sandra, Silva, María T., Ciancio, Javier, & Whelan, Ken. (2019). Size structure, age, and diets of introduced Chinook salmon (Oncorhynchus tshawytscha) inhabiting the Palena River, Chilean Patagonia. Latin american journal of aquatic research, 47(1), 129-137. https://dx.doi.org/10.3856/vol47-issue1-fulltext-14","Bravo, S., Silva, M.T., Ciancio, J., and Whelan, K. 2019. Size structure, age, and diets of introduced Chinook salmon (Oncorhynchus tshawytscha) inhabiting the Palena River, Chilean Patagonia. Latin American Journal of Aquatic Research 47(1): 129–137. doi:10.3856/vol47-issue1-fulltext-14."
"Bravo, Sandra, Whelan, Ken, Ponce, Nike, & Silva, María Teresa. (2022). The cohabitation of Chinook salmon (Oncorhynchus tshawytscha) with trout populations in two important recreational fishing rivers in southern Chile. Latin american journal of aquatic research, 50(5), 723-738. https://dx.doi.org/10.3856/vol50-issue5-fulltext-2906","Bravo, S., Whelan, K., Ponce, N., and Silva, M.T. 2022. The cohabitation of Chinook salmon (Oncorhynchus tshawytscha) with trout populations in two important recreational fishing rivers in southern Chile. Latin American Journal of Aquatic Research 50(5): 723–738. doi:10.3856/vol50-issue5-fulltext-2906."
"Brian Reid (2022) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2022-499. Proyecto: Efecto de sedimentos suspendidos a la alimentación de los peces nativos e introducidos, en la cuenca del río Simpson, región de Aysén. Centro de Investigación de Ecosistemas de la Patagonia.","Reid, B. 2022. Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°E-2022-499. Proyecto: Efecto de sedimentos suspendidos a la alimentación de los peces nativos e introducidos, en la cuenca del río Simpson, región de Aysén. Centro de Investigación de Ecosistemas de la Patagonia."
"Campos H. Gavilán J. Murillo V. y Alarcón P. 1996. Presencia de Cheirodon australe (Pisces: Characidae) en Lago Tarahuín (Isla Grande de Chiloé, 42º40’S, Chile) y su Significado Zoogeográfico. Medio Ambiente 13(1): 69-79.","Campos, H., Gavilan, J., Murillo, V., and Alarcon, P. 1996. Presencia de Cheirodon australe (Pisces: Characidae) en Lago Tarahuín (Isla Grande de Chiloé, 42º40’S, Chile) y su Significado Zoogeográfico. Medio Ambiente 13: 69–79."
"Campos, H. 1984. Gonswana and Neotropical Galaxioid fish biogeography. In Evolutionary Ecology of Neotropical Freshwater Fishes. Edited by T.M. Zaret. Junk Publisher, The Hague Netherland.","Campos, H. 1984. Gonswana and Neotropical Galaxioid fish biogeography. In Evolutionary Ecology of Neotropical Freshwater Fishes. Edited by T.M. Zaret. Junk Publisher, The Hague Netherland."
"Campos, H., and Ortiz, J.C. 1992. Peces, Anfibios y Reptiles de Torres del Paine: ¿Qué pasó con la diversidad? In Biodiversidad en Parque Nacional Torres del Paine. Edited by W.F.C.N.- -1. (en imprenta).","Campos, H., and Ortiz, J.C. 1992. Peces, Anfibios y Reptiles de Torres del Paine: ¿Qué pasó con la diversidad? In Biodiversidad en Parque Nacional Torres del Paine. Edited by W.F.C.N.- -1. (en imprenta)."
"Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","Campos, H., Arenas, J., Jara, C., Gonser, T., and Prins, R. 1984. Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente 7: 52–64."
"Campos, H., Dazarola, G., Dyer, B.S., Fuentes, L., Gavilán, J.F., Huaquín, L., Martínez, G., Meléndez, R., Pequeño, G., Ponce, F., Ruiz, V.H., Sielfeld, W., Soto, D., Vega, R., and Vila, I. 1998. Categorías de conservación de peces nativos de aguas continentales de Chile. Boletín del Museo Nacional de Historia Natural, Chile 47: 101–122.","Campos, H., Dazarola, G., Dyer, B.S., Fuentes, L., Gavilán, J.F., Huaquín, L., Martínez, G., Meléndez, R., Pequeño, G., Ponce, F., Ruiz, V.H., Sielfeld, W., Soto, D., Vega, R., and Vila, I. 1998. Categorías de conservación de peces nativos de aguas continentales de Chile. Boletín del Museo Nacional de Historia Natural, Chile 47: 101–122."
"Campos, H., Gavilan, J., Murillo, V., and Alarcon, P. 1996. Presencia de Cheirodon australe (Pisces: Characidae) en Lago Tarahuín (Isla Grande de Chiloé, 42º40’S, Chile) y su Significado Zoogeográfico. Medio Ambiente 13: 69–79.","Campos, H., Gavilan, J., Murillo, V., and Alarcon, P. 1996. Presencia de Cheirodon australe (Pisces: Characidae) en Lago Tarahuín (Isla Grande de Chiloé, 42º40’S, Chile) y su Significado Zoogeográfico. Medio Ambiente 13: 69–79."
"Carlos Leal, Carolina Rodriguez (2018) Regularizacion Bocatoma Piscicultura De Recirculacion Rio Hollemberg. https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2133497740","Leal, C., and Rodriguez, C. 2018. Regularización, Bocatoma Piscicultura de Recirculación Río Hollemberg. Available from https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2133497740 [accessed 30 September 2025]."
"Cassigoli, J. (1999) Catastro de enfermedades de peces nativos circundantes a centros de cultivo de salmónidos.. Fondo de Investigación Pesquera - Instituto Tecnológico del Salmón - Universidad Austral de Chile - Aquatic Health FIP 97-38.","Cassigoli, J. 1999. Catastro de enfermedades de peces nativos circundantes a centros de cultivo de salmónidos. Fondo de Investigación Pesquera - Instituto Tecnológico del Salmón - Universidad Austral de Chile - Aquatic Health."
"Caucahue EIRL (2014) Estudio De Linea Base De Tipo Limnologico Del Proyecto Hidroelectrico Central De Pasada Rio Aviles, Localizado En Rio Aviles, Margen Sur Del Lago General Carrera, Cuenca Del Baker, Comuna De Chile Chico, Xi Region De Chile","Caucahue EIRL. 2014. Estudio De Linea Base De Tipo Limnologico Del Proyecto Hidroelectrico Central De Pasada Rio Aviles, Localizado En Rio Aviles, Margen Sur Del Lago General Carrera, Cuenca Del Baker, Comuna De Chile Chico, Xi Region De Chile."
CEA (2013) Identificacion De Areas De Importancia Ambiental (Aia) En El Río Chamiza Y Lago Chapo,"CEA. 2013. Identificacion De Areas De Importancia Ambiental (Aia) En El Río Chamiza Y Lago Chapo. NA, ND"
"CEA Linea Base Flora Y Fauna Acuatica, Calidad De Agua Y Caudal Ecologico En Los Rios Baker  Y Pascua.","CEA Linea Base Flora Y Fauna Acuatica, Calidad De Agua Y Caudal Ecologico En Los Rios Baker Y Pascua."
CEA Linea Base Limnologia  Southern Star Coal Project.,CEA Linea Base Limnologia Southern Star Coal Project.
"CEA Linea De Base Medio Dulceacuicola, Rio Blanco, Cuervo Y Condor.","CEA Linea De Base Medio Dulceacuicola, Rio Blanco, Cuervo Y Condor."
CEA Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen Noviembre 2011.,CEA Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen Noviembre 2011.
CEA Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen.,CEA Monitoreo Limnologico En El Area De Influencia Del Proyecto Hidroelectrico Aysen.
"CEA para ENDESA, Base de datos CEA 2015","CEA para ENDESA, Base de datos CEA 2015"
CEA Proyecto Central Hidroelectrica Cuervo.,CEA Proyecto Central Hidroelectrica Cuervo.
CEA Proyecto Hidroelectrico Aysen.,CEA Proyecto Hidroelectrico Aysen.
CEA Proyecto Sistema De Transmision Energia Austral.,CEA Proyecto Sistema De Transmision Energia Austral.
"Ceballos, S.G., Lessa, E.P., Victorio, M.F. et al. Phylogeography of the sub-Antarctic notothenioid fish Eleginops maclovinus: evidence of population expansion. Mar Biol 159, 499–505 (2012). https://doi.org/10.1007/s00227-011-1830-4","Ceballos, S., Lessa, E., Victorio, M.F., and Fernández, D. 2011. Phylogeography of the sub-Antarctic notothenioid fish Eleginops maclovinus: Evidence of population expansion. Marine Biology 159. doi:10.1007/s00227-011-1830-4."
"Centro de Ecología Aplicada Ltda. (2001) Estudio de Impacto Ambiental (EIA) proyecto ALUMYSA. Anexo IV.A_1 Caracterización del habitat acuático del Rio Cuervo, Puerto Aysen.. CONAMA.","Centro de Ecología Aplicada Ltda. 2001. Estudio de Impacto Ambiental (EIA) proyecto ALUMYSA. Anexo IV.A_1 Caracterización del habitat acuático del Rio Cuervo, Puerto Aysen.. CONAMA NA. Type of document: EIA Notes: NA"
"Chalde, T., Llompart, F.M. Fish distribution in a southern Patagonian river invaded by Chinook salmon. Hydrobiologia 848, 3489–3501 (2021). https://doi.org/10.1007/s10750-021-04603-z","Chalde, T., and Llompart, F.M. 2021. Fish distribution in a southern Patagonian river invaded by Chinook salmon. Hydrobiologia 848(15): 3489–3501. doi:10.1007/s10750-021-04603-z."
"Claudia Verdugo Castro (2020) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°65/2020. Proyecto: Monitoreo limnológico proyecto refundición de RCA's Amplición y cambio operacional, río Petrohué, comuna de Puerto Varas, región de Los Lagos. Mandante: Salmones Camanchaca S.A.","Claudia Verdugo Castro (2020) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX N°65/2020. Proyecto: Monitoreo limnológico proyecto refundición de RCA's Amplición y cambio operacional, río Petrohué, comuna de Puerto Varas, región de Los Lagos. Mandante: Salmones Camanchaca S.A."
"Claudia Verdugo Castro (2020) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX. N° E-2020-607 . Proyecto: Línea base limnológica Río Trainel cercano a la Piscicultura Trainel, región de Los Lagos. Mandante: Piscicultura Trainel.","Claudia Verdugo Castro (2020) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R. EX. N° E-2020-607 . Proyecto: Línea base limnológica Río Trainel cercano a la Piscicultura Trainel, región de Los Lagos. Mandante: Piscicultura Trainel."
"Claudia Verdugo Castro (Ecosistema) (2016) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°3232/2016. Proyecto: Piscicultura de recirculación lago Balmaceda, Sealand Aquaculture S.A.; respuesta observación 1.2.8 ICSARA n°1 (064/2016). Mandante: Sealand Aquaculture S.A.","Claudia Verdugo Castro (Ecosistema) (2016) Informe de resutados de pesca de investigación asociado al permiso SUBPESCA, R.EX N°3232/2016. Proyecto: Piscicultura de recirculación lago Balmaceda, Sealand Aquaculture S.A.; respuesta observación 1.2.8 ICSARA n°1 (064/2016). Mandante: Sealand Aquaculture S.A."
"Claudia Verdugo, Daphne Valencia, Claudio Riquelme, Vilma Barrera y Adolfo Cuevas (2018) Piscicultura Los Arrayanes. https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2142344914","Claudia Verdugo, Daphne Valencia, Claudio Riquelme, Vilma Barrera y Adolfo Cuevas (2018) Piscicultura Los Arrayanes. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2142344914"
"Claudia Verdugo, Daphne Valencia, Claudio Riquelme, Vilma Barrera y Adolfo Cuevas (2019) Piscicultura Los Arrayanes. https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2142344914","Claudia Verdugo, Daphne Valencia, Claudio Riquelme, Vilma Barrera y Adolfo Cuevas (2019) Piscicultura Los Arrayanes. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=normal&id_expediente=2142344914"
"Colihueque N, Estay FJ, Crespo JE, Arriagada A, Baessolo L, Canales-Aguirre CB, Marin J and Carrasco R (2019) Genetic Differentiation and Origin of Naturalized Rainbow Trout opulations From Southern Chile Revealed by the mtDNA Control Region Marker.  Front. Genet. 10:1212.","Colihueque, N., Estay, F.J., Crespo, J.E., Arriagada, A., Baessolo, L., Canales-Aguirre, C.B., Marín, J., and Carrasco, R. 2019. Genetic Differentiation and Origin of Naturalized Rainbow Trout Populations From Southern Chile, Revealed by the mtDNA Control Region Marker. Front. Genet. 10. Frontiers. doi:10.3389/fgene.2019.01212."
"Consuegra, S., Phillips, N., Gajardo, G. and de Leaniz, C.G. (2011), Winning the invasion roulette: escapes from fish farms increase admixture and facilitate establishment of non-native rainbow trout. Evolutionary Applications, 4: 660-671. https://doi.org/10.1111/j.1752-4571.2011.00189.x","Consuegra, S., Phillips, N., Gajardo, G., and de Leaniz, C.G. 2011. Winning the invasion roulette: escapes from fish farms increase admixture and facilitate establishment of non-native rainbow trout. Evolutionary Applications 4(5): 660–671. doi:10.1111/j.1752-4571.2011.00189.x."
"Conte-Grand, C, J Sommer, G Ortí y V Cussac. 2015. Populations of Odontesthes (Teleostei: Atheriniformes) in the Andean region of Southern South America: body shape and hybrid individuals. Neotropical Ichthyology, 13 (1): 137-150","Conte-Grand, C, J Sommer, G Ortí y V Cussac. 2015. Populations of Odontesthes (Teleostei: Atheriniformes) in the Andean region of Southern South America: body shape and hybrid individuals. Neotropical Ichthyology, 13 (1): 137-150"
"Conte-Grand, Cecilia et al. Populations of|Odontesthes(Teleostei: Atheriniformes) in the Andean region of Southern South America: body shape and hybrid individuals. Neotropical Ichthyology [online]. 2015, v. 13, n. 1 [Accessed 6 June 2023], pp. 137-150. Available from: <https://doi.org/10.1590/1982-0224-20130094>. ISSN 1982-0224. https://doi.org/10.1590/1982-0224-20130094.","Conte-Grand, C., Sommer, J., Ortí, G., and Cussac, V. 2015. Populations of Odontesthes (Teleostei: Atheriniformes) in the Andean region of Southern South America: body shape and hybrid individuals. Neotropical Ichthyology 13(1): 137–150. doi:10.1590/1982-0224-20130094."
CORFO-IFOP (1990) Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.. Chile Pesquero 1: 51-56.,CORFO-IFOP. 1990. Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.. Chile Pesquero 1: 51-56.
"Correa, C., and Gross, M.R. 2008. Chinook salmon invade southern South America. Biological Invasions 10: 615–639. doi: 10.1007/s10530-007-9157-2.","Correa, C., and Gross, M.R. 2008. Chinook salmon invade southern South America. Biological Invasions 10: 615–639. doi:10.1007/s10530-007-9157-2."
"Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842. doi:10.1890/11-1174.1.","Correa, C., and Hendry, A.P. 2012. Invasive salmonids and lake order interact in the decline of puye grande Galaxias platei in western Patagonia lakes. Ecological Applications 22(3): 828–842."
"Correa, C., and Moran, P. 2017. Polyphyletic ancestry of expanding Patagonian Chinook salmon populations. Scientific Reports 7(1). doi: 10.1038/s41598-017-14465-y.","Correa, C., and Moran, P. 2017. Polyphyletic ancestry of expanding Patagonian Chinook salmon populations. Scientific Reports 7(1). doi:10.1038/s41598-017-14465-y."
"Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781.","Correa, C., Bravo, A.P., and Hendry, A.P. 2012. Reciprocal trophic niche shifts in native and invasive fish: salmonids and galaxiids in Patagonian lakes. Freshwater Biology 57(9): 1769–1781."
"Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset].","Correa, Cristian, and Maryse Boisjoly (2025) Chilean fish collection and empirical database (Version 2025-11-27) [Unpublished dataset]."
"Crichigno, S.A., Hattori, R.S., Strüssmann, C.A. and Cussac, V. (2016), Morphological comparison of wild, farmed and hybrid specimens of two South American silversides, Odontesthes bonariensis and Odontesthes hatcheri. Aquac Res, 47: 1797-1808. https://doi.org/10.1111/are.12638","Crichigno, S.A., Hattori, R.S., Strüssmann, C.A., and Cussac, V. 2014. Morphological comparison of wild, farmed and hybrid specimens of two South American silversides, Odontesthes bonariensis and Odontesthes hatcheri. Aquaculture Research: n/a-n/a. doi:10.1111/are.12638."
CRISTIAN GONZALEZ L Minicentral Hidroelectrica Piruquina.,Cristian Gonzalez L. Minicentral Hidroelectrica Piruquina.
CRISTIAN GONZALEZ L Pa Desarrollo Hidroelectrico Rio Puelo.,Cristian Gonzalez L. Pa Desarrollo Hidroelectrico Rio Puelo.
"Cristian Manque, Leonardo Palacios y Luis Albornoz (2018) Ampliacion De Piscicultura Lago Verde. https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2142650146","Manque, C., Palacios, L y Albornoz, L. 2018. Ampliacion De Piscicultura Lago Verde. NA, https://seia.sea.gob.cl/expediente/ficha/fichaPrincipal.php?modo=ficha&id_expediente=2142650146"
"Cussac, V, E Habit, J González, MA Battini, JP Barriga y S Crichigno. 2012. Informe de avance: Los peces de agua dulce de la Patagonia: una puesta al día. URL: http://www.comahue-conicet.gob.ar/archivos/t7_cod118_Peces%20de%20agua%20dulce.pdf","Cussac, V,. Habit, E., González, J., Battini, M.A., Barriga, J.P., and Crichigno, S. 2012. Informe de avance: Los peces de agua dulce de la Patagonia: una puesta al día. URL: http://www.comahue-conicet.gob.ar/archivos/t7_cod118_Peces%20de%20agua%20dulce.pdf"
"Cussac, V, S Ortubay, G Iglesias, D Milano, ME Lattuca, JP Barriga, M Battini y M Gross. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. J. Biogeog. 31: 103-121","Cussac, V.E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M., and Gross, M. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography 31: 103–121."
"Cussac, V. E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M. E., Barriga, J. P., Battini, M., & Gross, M. (2004). The distribution of South American galaxiid fishes: The role of biological traits and post-glacial history. Journal of Biogeography, 31, 103–121.","Cussac, V.E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M., and Gross, M. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography 31: 103–121."
"Cussac, V., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M. and Gross, M. (2004), The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography, 31: 103-121. https://doi.org/10.1046/j.0305-0270.2003.01000.x","Cussac, V.E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M.E., Barriga, J.P., Battini, M., and Gross, M. 2004. The distribution of South American galaxiid fishes: the role of biological traits and post-glacial history. Journal of Biogeography 31: 103–121."
